ID,Title,Rate,NumberOfReviews,Price
E1,Lenovo Bluetooth Headphone,4.0,963,240
E2,Tws M4 Smart Watch,3.6,4583,107
E3,Cheerlux Projector,4.7,545,3599
E4,Samsung Galaxy Buds,4.7,425,1254
E5,Xiaomi Mi Box Media Player,4.8,16435,1265
E6,koctech M4 Smart Watch,3.2,1635,109
E7,Huawei Matebook D15,4.7,136,11377
E8,Fujifilm Instax Mini 11,4.7,254,1949
E9,Kakusan Wifi Ip Camera,4.2,82,799
E10,Powertec Hair Dryer,4.6,92853,239
E11,Canon Inkjet Printer,4.4,1328,940
E12,Fantom Vacuum Cleaner,4.3,2806,579
E13,Apple Watch Series3,4.9,531,4998
E14,Remington Hair Straightener,4.7,8627,840
E15,Samsung Galaxy Buds,4.7,425,1254
E16,Realme Google Tv Stick,4.0,6,999
E17,Next Full HD Receiver,4.5,3442,277
E18,Sony Playstation 5,4.7,763,18283
E19,Samsung Channel Soundbar,4.7,207,2399
E20,Torima P68 Bluetooth Headphone,4.2,639,124
